EMU_component_name,RA,Dec,probs_mode,A_Galaxy_prob,A_QSO_prob,A_STAR_prob,Nonhost_prob,Host_prob,Prediction,Ground_Truth
EMU_DRAGN_01166,313.975,-59.22372222222222,raw,0.002624,0.000489,0.996887,1.0,0.0,0,1
EMU_DRAGN_01700,318.92175,-55.77122222222222,raw,0.000186,0.000119,0.999695,1.0,0.0,0,1
EMU_DRAGN_00898,311.394125,-53.240833333333335,raw,0.002535,0.000827,0.996638,1.0,0.0,0,1
EMU_DRAGN_00472,307.2656666666667,-52.02086111111111,raw,0.008743,4e-06,0.991253,1.0,0.0,0,1
EMU_DRAGN_01252,314.781375,-62.59361111111112,raw,0.001736,5e-06,0.998259,1.0,0.0,0,1
EMU_DRAGN_00701,309.3880833333334,-48.97588888888889,raw,0.009739,1.4e-05,0.990247,1.0,0.0,0,1
EMU_DRAGN_00699,309.37083333333334,-54.65205555555556,raw,0.014536,9e-06,0.985455,1.0,0.0,0,1
EMU_DRAGN_03523,335.7144166666667,-51.63286111111111,raw,0.000207,0.00457,0.995223,1.0,0.0,0,1
EMU_DRAGN_00157,304.19416666666666,-57.744166666666665,raw,0.000457,0.003838,0.995705,1.0,0.0,0,1
EMU_DRAGN_02072,322.5517083333333,-60.900666666666666,raw,0.007811,4e-06,0.992185,1.0,0.0,0,1
EMU_DRAGN_02524,326.048375,-56.81183333333333,raw,0.000759,0.003872,0.995369,0.999937,6.3e-05,0,1
EMU_DRAGN_02571,326.55354166666666,-58.73530555555556,raw,0.00641,7e-06,0.993583,1.0,0.0,0,1
EMU_DRAGN_00422,306.86558333333335,-52.780166666666666,raw,0.002429,0.000637,0.996934,1.0,0.0,0,1
EMU_DRAGN_02476,325.6707083333333,-48.41511111111111,raw,0.00741,7e-06,0.992583,1.0,0.0,0,1
EMU_DRAGN_02028,322.1225,-57.719,raw,0.006954,7e-06,0.993038,1.0,0.0,0,1
EMU_DRAGN_02918,329.4845833333334,-61.54786111111111,raw,0.022531,7.2e-05,0.977398,1.0,0.0,0,1
EMU_DRAGN_03259,332.88395833333334,-61.24252777777778,raw,0.002348,2.8e-05,0.997624,1.0,0.0,0,1
