EMU_component_name,RA,Dec,probs_mode,A_Galaxy_prob,A_QSO_prob,A_STAR_prob,Nonhost_prob,Host_prob,Prediction,Ground_Truth
EMU_DRAGN_01166,313.975,-59.22372222222222,uniform,0.333333,0.333333,0.333333,0.53722,0.46278,0,1
EMU_DRAGN_01700,318.92175,-55.77122222222222,uniform,0.333333,0.333333,0.333333,0.792476,0.207524,0,1
EMU_DRAGN_00898,311.394125,-53.240833333333335,uniform,0.333333,0.333333,0.333333,0.699997,0.300003,0,1
EMU_DRAGN_00472,307.2656666666667,-52.02086111111111,uniform,0.333333,0.333333,0.333333,0.073622,0.926378,1,1
EMU_DRAGN_01252,314.781375,-62.59361111111112,uniform,0.333333,0.333333,0.333333,0.125423,0.874577,1,1
EMU_DRAGN_00701,309.3880833333334,-48.97588888888889,uniform,0.333333,0.333333,0.333333,0.128847,0.871153,1,1
EMU_DRAGN_00699,309.37083333333334,-54.65205555555556,uniform,0.333333,0.333333,0.333333,0.351826,0.648174,1,1
EMU_DRAGN_03523,335.7144166666667,-51.63286111111111,uniform,0.333333,0.333333,0.333333,0.081539,0.918461,1,1
EMU_DRAGN_00157,304.19416666666666,-57.744166666666665,uniform,0.333333,0.333333,0.333333,0.946312,0.053688,0,1
EMU_DRAGN_02072,322.5517083333333,-60.900666666666666,uniform,0.333333,0.333333,0.333333,0.085257,0.914743,1,1
EMU_DRAGN_02524,326.048375,-56.81183333333333,uniform,0.333333,0.333333,0.333333,0.496882,0.503118,1,1
EMU_DRAGN_02571,326.55354166666666,-58.73530555555556,uniform,0.333333,0.333333,0.333333,0.135253,0.864747,1,1
EMU_DRAGN_00422,306.86558333333335,-52.780166666666666,uniform,0.333333,0.333333,0.333333,0.078446,0.921554,1,1
EMU_DRAGN_02476,325.6707083333333,-48.41511111111111,uniform,0.333333,0.333333,0.333333,0.819187,0.180813,0,1
EMU_DRAGN_02028,322.1225,-57.719,uniform,0.333333,0.333333,0.333333,0.111592,0.888408,1,1
EMU_DRAGN_02918,329.4845833333334,-61.54786111111111,uniform,0.333333,0.333333,0.333333,0.149304,0.850695,1,1
EMU_DRAGN_03259,332.88395833333334,-61.24252777777778,uniform,0.333333,0.333333,0.333333,0.845957,0.154043,0,1
EMU_DRAGN_02501,325.88866666666667,-57.17216666666666,uniform,0.333333,0.333333,0.333333,0.343995,0.656005,1,1
EMU_DRAGN_00537,307.93175,-49.142694444444444,uniform,0.333333,0.333333,0.333333,0.160099,0.839901,1,1
EMU_DRAGN_00864,311.002625,-50.35761111111111,uniform,0.333333,0.333333,0.333333,0.89098,0.10902,0,1
EMU_DRAGN_02936,329.60116666666664,-57.48086111111111,uniform,0.333333,0.333333,0.333333,0.721191,0.278809,0,1
EMU_DRAGN_03005,330.237375,-53.18433333333333,uniform,0.333333,0.333333,0.333333,0.191242,0.808758,1,1
EMU_DRAGN_00552,308.09220833333336,-51.061,uniform,0.333333,0.333333,0.333333,0.926774,0.073226,0,1
EMU_DRAGN_00442,307.04708333333326,-56.84238888888889,uniform,0.333333,0.333333,0.333333,0.26419,0.73581,1,1
EMU_DRAGN_01963,321.54229166666664,-53.17386111111111,uniform,0.333333,0.333333,0.333333,0.243518,0.756482,1,1
EMU_DRAGN_00164,304.2445833333333,-50.73513888888889,uniform,0.333333,0.333333,0.333333,0.172069,0.827931,1,1
EMU_DRAGN_00903,311.4350416666667,-58.14736111111111,uniform,0.333333,0.333333,0.333333,0.226159,0.773841,1,1
EMU_DRAGN_03265,332.911125,-48.50736111111111,uniform,0.333333,0.333333,0.333333,0.119934,0.880066,1,1
EMU_DRAGN_01183,314.10891666666663,-50.14266666666666,uniform,0.333333,0.333333,0.333333,0.927077,0.072923,0,1
EMU_DRAGN_03219,332.4369583333333,-53.15633333333333,uniform,0.333333,0.333333,0.333333,0.840552,0.159448,0,1
EMU_DRAGN_00918,311.4677083333333,-51.107416666666666,uniform,0.333333,0.333333,0.333333,0.861672,0.138328,0,1
EMU_DRAGN_01773,319.6310833333333,-53.19936111111111,uniform,0.333333,0.333333,0.333333,0.067504,0.932496,1,1
EMU_DRAGN_00579,308.286875,-58.6175,uniform,0.333333,0.333333,0.333333,0.841424,0.158576,0,1
EMU_DRAGN_00372,306.3442916666667,-48.78383333333333,uniform,0.333333,0.333333,0.333333,0.959774,0.040226,0,1
EMU_DRAGN_01519,317.325625,-50.445361111111104,uniform,0.333333,0.333333,0.333333,0.650467,0.349533,0,1
EMU_DRAGN_03381,333.78091666666666,-53.30616666666666,uniform,0.333333,0.333333,0.333333,0.735674,0.264326,0,1
EMU_DRAGN_00250,305.137375,-54.31558333333333,uniform,0.333333,0.333333,0.333333,0.087817,0.912183,1,1
EMU_DRAGN_00222,304.85991666666666,-61.24058333333333,uniform,0.333333,0.333333,0.333333,0.152055,0.847945,1,1
EMU_DRAGN_01426,316.3855,-52.95502777777778,uniform,0.333333,0.333333,0.333333,0.28654,0.71346,1,1
EMU_DRAGN_02543,326.2409166666667,-51.83544444444445,uniform,0.333333,0.333333,0.333333,0.126645,0.873355,1,1
EMU_DRAGN_02063,322.4680416666667,-51.86891666666666,uniform,0.333333,0.333333,0.333333,0.087363,0.912637,1,1
EMU_DRAGN_01968,321.5792916666667,-53.806527777777774,uniform,0.333333,0.333333,0.333333,0.366075,0.633925,1,1
EMU_DRAGN_03101,331.19741666666664,-54.94886111111111,uniform,0.333333,0.333333,0.333333,0.97271,0.02729,0,1
EMU_DRAGN_03235,332.63545833333336,-53.812666666666665,uniform,0.333333,0.333333,0.333333,0.128616,0.871384,1,1
EMU_DRAGN_00342,306.08141666666666,-58.409083333333335,uniform,0.333333,0.333333,0.333333,0.14951,0.85049,1,1
EMU_DRAGN_01634,318.2991666666667,-56.68297222222222,uniform,0.333333,0.333333,0.333333,0.076115,0.923885,1,1
EMU_DRAGN_02874,329.1836666666667,-58.82586111111112,uniform,0.333333,0.333333,0.333333,0.28807,0.71193,1,1
EMU_DRAGN_02658,327.34029166666664,-55.049638888888886,uniform,0.333333,0.333333,0.333333,0.83514,0.16486,0,1
EMU_DRAGN_00773,310.09679166666666,-54.64430555555556,uniform,0.333333,0.333333,0.333333,0.152623,0.847377,1,1
EMU_DRAGN_01142,313.6535416666667,-49.06958333333333,uniform,0.333333,0.333333,0.333333,0.27294,0.72706,1,1
EMU_PS_J222156.3-533900,335.484738,-53.650188,uniform,0.333333,0.333333,0.333333,0.463793,0.536207,1,0
EMU_PS_J215803.2-624344,329.513183,-62.728933,uniform,0.333333,0.333333,0.333333,0.84094,0.15906,0,0
EMU_PS_J203949.2-583838,309.955122,-58.643919,uniform,0.333333,0.333333,0.333333,0.692827,0.307173,0,0
EMU_PS_J215624.1-510048,329.100394,-51.013472,uniform,0.333333,0.333333,0.333333,0.819816,0.180184,0,0
EMU_PS_J214045.1-500037,325.187895,-50.010405,uniform,0.333333,0.333333,0.333333,0.950213,0.049787,0,0
EMU_PS_J220653.7-524914,331.723595,-52.820692,uniform,0.333333,0.333333,0.333333,0.937165,0.062835,0,0
EMU_PS_J204913.4-511318,312.305684,-51.221766,uniform,0.333333,0.333333,0.333333,0.943513,0.056487,0,0
EMU_PS_J211656.8-524327,319.236704,-52.724393,uniform,0.333333,0.333333,0.333333,0.846078,0.153922,0,0
EMU_PS_J213239.6-613827,323.165092,-61.641035,uniform,0.333333,0.333333,0.333333,0.727962,0.272038,0,0
EMU_PS_J210815.7-573617,317.065378,-57.604748,uniform,0.333333,0.333333,0.333333,0.90427,0.095731,0,0
EMU_PS_J203654.2-601400,309.22573,-60.233267,uniform,0.333333,0.333333,0.333333,0.893243,0.106757,0,0
EMU_PS_J200803.0-521440,302.012366,-52.244543,uniform,0.333333,0.333333,0.333333,0.917694,0.082306,0,0
EMU_PS_J203806.6-572758,309.52751,-57.466124,uniform,0.333333,0.333333,0.333333,0.85089,0.14911,0,0
EMU_PS_J203357.3-493616,308.488957,-49.604476,uniform,0.333333,0.333333,0.333333,0.97898,0.02102,0,0
EMU_PS_J205904.7-572343,314.769598,-57.395486,uniform,0.333333,0.333333,0.333333,0.971996,0.028004,0,0
EMU_PS_J202749.4-590900,306.955839,-59.149878,uniform,0.333333,0.333333,0.333333,0.877365,0.122635,0,0
EMU_PS_J205329.0-590951,313.370973,-59.164198,uniform,0.333333,0.333333,0.333333,0.772564,0.227436,0,0
EMU_PS_J213327.8-581221,323.365754,-58.205872,uniform,0.333333,0.333333,0.333333,0.835756,0.164244,0,0
EMU_PS_J205249.3-521413,313.205523,-52.236962,uniform,0.333333,0.333333,0.333333,0.882535,0.117465,0,0
EMU_PS_J211544.0-524212,318.933288,-52.703364,uniform,0.333333,0.333333,0.333333,0.91671,0.08329,0,0
EMU_PS_J221314.2-621212,333.309311,-62.203438,uniform,0.333333,0.333333,0.333333,0.833484,0.166516,0,0
EMU_PS_J215646.7-593930,329.194566,-59.658413,uniform,0.333333,0.333333,0.333333,0.666362,0.333638,0,0
EMU_PS_J201700.8-493158,304.253531,-49.532801,uniform,0.333333,0.333333,0.333333,0.917094,0.082906,0,0
EMU_PS_J212659.0-540222,321.745841,-54.039507,uniform,0.333333,0.333333,0.333333,0.172356,0.827644,1,0
EMU_PS_J220118.0-542011,330.32482,-54.336576,uniform,0.333333,0.333333,0.333333,0.553379,0.446621,0,0
EMU_PS_J202557.3-520755,306.488855,-52.132075,uniform,0.333333,0.333333,0.333333,0.98961,0.01039,0,0
EMU_PS_J222222.6-505311,335.594339,-50.88652,uniform,0.333333,0.333333,0.333333,0.929776,0.070224,0,0
EMU_PS_J202702.9-615417,306.761893,-61.904765,uniform,0.333333,0.333333,0.333333,0.92492,0.07508,0,0
EMU_PS_J214925.4-583326,327.355686,-58.557225,uniform,0.333333,0.333333,0.333333,0.747901,0.252099,0,0
EMU_PS_J205813.8-531636,314.557546,-53.276743,uniform,0.333333,0.333333,0.333333,0.287318,0.712682,1,0
EMU_PS_J204812.9-520851,312.053818,-52.147518,uniform,0.333333,0.333333,0.333333,0.364246,0.635754,1,0
EMU_PS_J220104.2-624243,330.267598,-62.712199,uniform,0.333333,0.333333,0.333333,0.969436,0.030564,0,0
EMU_PS_J214928.2-551017,327.367487,-55.171489,uniform,0.333333,0.333333,0.333333,0.980775,0.019225,0,0
EMU_PS_J210734.6-581753,316.894011,-58.298062,uniform,0.333333,0.333333,0.333333,0.926202,0.073798,0,0
EMU_PS_J202608.1-532733,306.533757,-53.459321,uniform,0.333333,0.333333,0.333333,0.98139,0.01861,0,0
EMU_PS_J220625.4-490656,331.605797,-49.115557,uniform,0.333333,0.333333,0.333333,0.820036,0.179964,0,0
EMU_PS_J213953.0-563518,324.97064,-56.588432,uniform,0.333333,0.333333,0.333333,0.753859,0.246141,0,0
EMU_PS_J215217.8-615309,328.074314,-61.886048,uniform,0.333333,0.333333,0.333333,0.904421,0.095579,0,0
EMU_PS_J212426.0-563458,321.108517,-56.582934,uniform,0.333333,0.333333,0.333333,0.9669,0.0331,0,0
EMU_PS_J210731.8-540450,316.882566,-54.080678,uniform,0.333333,0.333333,0.333333,0.989999,0.010001,0,0
EMU_PS_J220033.7-574720,330.140349,-57.788948,uniform,0.333333,0.333333,0.333333,0.783364,0.216636,0,0
EMU_PS_J222143.5-533058,335.431395,-53.516191,uniform,0.333333,0.333333,0.333333,0.984326,0.015674,0,0
EMU_PS_J205549.0-590553,313.954375,-59.098266,uniform,0.333333,0.333333,0.333333,0.944858,0.055142,0,0
EMU_PS_J212825.1-550702,322.104456,-55.117451,uniform,0.333333,0.333333,0.333333,0.244365,0.755635,1,0
EMU_PS_J212029.9-554719,320.124661,-55.788816,uniform,0.333333,0.333333,0.333333,0.450624,0.549376,1,0
EMU_PS_J204758.4-615510,311.993136,-61.919653,uniform,0.333333,0.333333,0.333333,0.923439,0.076561,0,0
EMU_PS_J215652.7-582806,329.219612,-58.468406,uniform,0.333333,0.333333,0.333333,0.98713,0.01287,0,0
EMU_PS_J214721.9-553239,326.841163,-55.544353,uniform,0.333333,0.333333,0.333333,0.944252,0.055748,0,0
EMU_PS_J210208.9-500206,315.53716,-50.035185,uniform,0.333333,0.333333,0.333333,0.860336,0.139664,0,0
EMU_PS_J200546.3-531018,301.442717,-53.17175,uniform,0.333333,0.333333,0.333333,0.94179,0.05821,0,0
