source_id,class,dec_band,dec,galaxy_prob,qso_prob,star_prob,predicted,correct
2131p590_b0-001931,GALAXY,North,59.5661824,0.020543096587061882,0.9670462608337402,0.01241062581539154,QSO,0
2095p530_b0-001575,GALAXY,North,53.6170433,0.0001886572572402656,0.9998083710670471,2.9388124858087394e-06,QSO,0
2071p530_b0-000385,GALAXY,North,53.2310873,0.05485408008098602,0.6003146767616272,0.3448311984539032,QSO,0
2062p424_b0-001210,GALAXY,North,42.4805896,0.15650518238544464,0.42601415514945984,0.4174806773662567,QSO,0
2011p318_b0-002277,GALAXY,North,31.6858023,0.00853304099291563,0.00033019494730979204,0.9911367893218994,STAR,0
1296p590_b0-022297,QSO,North,59.5467018,0.008462423458695412,0.5978513956069946,0.3936861753463745,QSO,1
2426p560_b0-015018,QSO,North,55.4390936,0.0009847594192251563,0.9977638721466064,0.0012513358378782868,QSO,1
3404p227_b0-040222,QSO,North,22.1713577,0.003340756520628929,0.08297862112522125,0.9136806726455688,STAR,0
1432p393_b0-035586,QSO,North,39.5165496,0.004748122300952673,0.23763637244701385,0.7576155066490173,STAR,0
3293p212_b0-095100,QSO,North,21.128937,0.0018064138712361455,0.0041692727245390415,0.9940243363380432,STAR,0
1212p363_b0-001188,STAR,North,36.0235938,0.005265159998089075,0.000650720379780978,0.9940841794013977,STAR,1
2347p318_b0-006353,STAR,North,32.1485661,0.00013881322229281068,1.1152869774377905e-06,0.9998600482940674,STAR,1
2045p272_b0-000586,STAR,North,27.9038126,0.00663328729569912,0.001487587345764041,0.9918791055679321,STAR,1
1456p439_b0-006812,STAR,North,43.4935014,0.014151512645184994,0.10376913100481033,0.8820794224739075,STAR,1
1871p333_b0-000839,STAR,North,32.6631204,0.009336547926068306,0.0036665836814790964,0.9869968891143799,STAR,1
0112p196_b0-003751,GALAXY,Mid,19.8433975,0.00754330912604928,0.0015037707053124905,0.9909528493881226,STAR,0
3267p000_b0-009322,GALAXY,Mid,0.4822678,0.006611675955355167,0.004183061420917511,0.9892052412033081,STAR,0
0075p060_b0-002998,GALAXY,Mid,5.8470174,0.0396614745259285,0.8731622695922852,0.08717625588178635,QSO,0
0126p181_b0-008516,GALAXY,Mid,18.5438403,0.0008220599847845733,0.0001605521683814004,0.9990173578262329,STAR,0
2442p181_b0-004436,GALAXY,Mid,18.2425225,0.07406888157129288,0.1059761717915535,0.8199549317359924,STAR,0
1591p121_b0-003269,QSO,Mid,12.2959423,0.00024885256425477564,0.9997480511665344,3.0356613933690824e-06,QSO,1
1655p045_b0-002463,QSO,Mid,4.3754388,4.5886266889283434e-05,0.999954104423523,6.106224503810154e-08,QSO,1
1296p196_b0-003329,QSO,Mid,19.5155505,0.00010613306949380785,0.9998912811279297,2.5294966690125875e-06,QSO,1
0121p045_b0-018938,QSO,Mid,3.8326593,0.003670279635116458,0.019345900043845177,0.9769838452339172,STAR,0
0281p151_b0-030825,QSO,Mid,15.5572202,0.004728352185338736,0.8826146721839905,0.11265703290700912,QSO,1
1753p136_b0-001840,STAR,Mid,14.2360384,0.012618884444236755,0.11275283247232437,0.8746283054351807,STAR,1
0263p136_b0-000734,STAR,Mid,12.903135,0.0013711800565943122,0.00021927554917056113,0.9984095692634583,STAR,1
1497p000_b0-002958,STAR,Mid,0.1287635,0.03232044354081154,0.003843849990516901,0.9638357758522034,STAR,1
3282p000_b0-011511,STAR,Mid,0.1718001,0.0006569607648998499,2.1992233087075874e-05,0.9993209838867188,STAR,1
0305p075_b0-015978,STAR,Mid,6.9029495,0.0001732603705022484,3.933786865673028e-05,0.9997873902320862,STAR,1
1800p000_b0-002975,GALAXY,South,-0.7568917,0.08962501585483551,0.723266065120697,0.18710893392562866,QSO,0
0015p000_b0-029500,QSO,South,-0.7344936,0.0007237961981445551,0.9967705011367798,0.0025057203602045774,QSO,1
3494p000_b0-006295,QSO,South,-0.435961,0.0005147599149495363,0.9993095397949219,0.00017572547949384898,QSO,1
3191m016_b0-039149,QSO,South,-1.4065368,0.0064189983531832695,0.43787169456481934,0.5557093024253845,STAR,0
0393p000_b0-021346,STAR,South,-0.1184189,0.0002430403110338375,0.0008364181267097592,0.9989205598831177,STAR,1
3324m091_b0-026604,STAR,South,-8.9824324,0.004663950763642788,0.1251789927482605,0.8701570630073547,STAR,1
0499m016_b0-003219,STAR,South,-1.0359328,0.0029809297993779182,0.0003330937761347741,0.9966860413551331,STAR,1
1300p000_b0-005482,STAR,South,-0.2128861,0.022834502160549164,0.010558675974607468,0.9666067957878113,STAR,1
3327p000_b0-001431,STAR,South,-0.2649547,0.0026933548506349325,6.74563052598387e-05,0.9972392320632935,STAR,1
