observation_name,sbids,emu_ra_min_deg,emu_ra_max_deg,emu_dec_min_deg,emu_dec_max_deg,vlass_ra_min_deg,vlass_ra_max_deg,vlass_dec_min_deg,vlass_dec_max_deg,overlap_ra_min_deg,overlap_ra_max_deg,overlap_dec_min_deg,overlap_dec_max_deg,merged_product_count
EMU_0208+00,33275,28.04626604814,36.431900466938,-3.6549783894984,3.6544217018226,0.0,360.0,-40.0,90.0,28.04626604814,36.431900466938,-3.6549783894984,3.6544217018226,6
EMU_0208+00B,33442,28.04626604814,36.431900466938,-3.6549783894984,3.6544217018226,0.0,360.0,-40.0,90.0,28.04626604814,36.431900466938,-3.6549783894984,3.6544217018226,6
EMU_0208-04,33400,28.004542729354,36.473065603986,-8.3248023890338,-1.003286593246,0.0,360.0,-40.0,90.0,28.004542729354,36.473065603986,-8.3248023890338,-1.003286593246,6
EMU_0208-04B,33459,28.004542729354,36.473065603986,-8.3248023890338,-1.003286593246,0.0,360.0,-40.0,90.0,28.004542729354,36.473065603986,-8.3248023890338,-1.003286593246,6
EMU_0208-09,33287,27.932773555252,36.544263144281,-12.986639920057,-5.6532731127793,0.0,360.0,-40.0,90.0,27.932773555252,36.544263144281,-12.986639920057,-5.6532731127793,6
EMU_0208-09B,33370,27.932773555252,36.544263144281,-12.986639920057,-5.6532731127793,0.0,360.0,-40.0,90.0,27.932773555252,36.544263144281,-12.986639920057,-5.6532731127793,6
EMU_0230+00,28257,33.419957562809,41.805033800268,-3.6549783894984,3.6544217018226,0.0,360.0,-40.0,90.0,33.419957562809,41.805033800268,-3.6549783894984,3.6544217018226,6
EMU_0230+00B,33343,33.419957562809,41.805033800268,-3.6549783894984,3.6544217018226,0.0,360.0,-40.0,90.0,33.419957562809,41.805033800268,-3.6549783894984,3.6544217018226,6
EMU_0230-04,33460,33.377676062684,41.846198937316,-8.3248023890338,-1.003286593246,0.0,360.0,-40.0,90.0,33.377676062684,41.846198937316,-8.3248023890338,-1.003286593246,6
EMU_0230-04A,24132;24133,33.377676062684,41.846198937316,-8.3248023890338,-1.003286593246,0.0,360.0,-40.0,90.0,33.377676062684,41.846198937316,-8.3248023890338,-1.003286593246,12
EMU_0230-04B,33509,33.377676062684,41.846198937316,-8.3248023890338,-1.003286593246,0.0,360.0,-40.0,90.0,33.377676062684,41.846198937316,-8.3248023890338,-1.003286593246,6
EMU_0230-04B,24177;24178,33.827026495847,42.301863562029,-8.5859775622993,-1.2600128289883,0.0,360.0,-40.0,90.0,33.827026495847,42.301863562029,-8.5859775622993,-1.2600128289883,12
EMU_0230-04_band2,28808,33.37768963362,41.84618536638,-8.3247908493213,-1.0032982915011,0.0,360.0,-40.0,90.0,33.37768963362,41.84618536638,-8.3247908493213,-1.0032982915011,6
EMU_0230-09,33482,33.305906888582,41.917968111418,-12.986633114928,-5.6532731127793,0.0,360.0,-40.0,90.0,33.305906888582,41.917968111418,-12.986633114928,-5.6532731127793,6
EMU_0230-09B,33553,33.305906888582,41.917968111418,-12.986633114928,-5.6532731127793,0.0,360.0,-40.0,90.0,33.305906888582,41.917968111418,-12.986633114928,-5.6532731127793,6
EMU_1650-41,28280,246.62787539163,258.75514866716,-45.450865982901,-38.027082629022,0.0,360.0,-40.0,90.0,246.62787539163,258.75514866716,-40.0,-38.027082629022,6
EMU_1718-41,32145,253.55095455823,265.67822783375,-45.450865982901,-38.027082629022,0.0,360.0,-40.0,90.0,253.55095455823,265.67822783375,-40.0,-38.027082629022,6
NGC5044_3A_band1,31375,198.81285434979,207.9520201733,-21.184452535682,-12.675210807499,0.0,360.0,-40.0,90.0,198.81285434979,207.9520201733,-21.184452535682,-12.675210807499,6
NGC5044_3A_band2,31536,198.82597405921,207.43117008509,-20.729469361537,-12.685636335471,0.0,360.0,-40.0,90.0,198.82597405921,207.43117008509,-20.729469361537,-12.685636335471,6
NGC5044_3B_band2,40905,199.28738536173,207.93075785865,-21.174108641561,-13.118724018646,0.0,360.0,-40.0,90.0,199.28738536173,207.93075785865,-21.174108641561,-13.118724018646,6
